Marquita McCollum,"Psychotherapy, LCSW","Marquita McCollum, LCSW, has several years of experience providing cognitive behavioral therapy to children and families. She offers individual therapy and provides a safe space to process your emotions while embracing change, growth, and healing. Imagine feeling understood and gaining the confidence to communicate effectively and cultivate healthy relationships in your life.","Anxiety and panic disorders, Life transitions, Personal growth and self-esteem, Parenting, ADD/ADHD","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, Meritain, See your cost estimate",No data,No data,No data,No data,Arizona
Cindy Fonseca,"Psychotherapy, LPC , LCSW","Cindy Fonseca has over 30 years of combined professional experience in the social work and therapeutic counseling fields. She has assisted clients with stress and anxiety, unresolved trauma, relationship issues, motivation, and self-esteem. Cindy is culturally sensitive and specializes in working with diverse populations including those who speak English and/or Spanish.","Anxiety and panic disorders, Depression, Personal growth and self-esteem, Men’s mental health, Women’s mental health","Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Meritain, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, Christian Brothers Services - Aetna, Trustmark Health Benefits - Aetna, Trustmark Health Benefits - Cigna, Trustmark Small Business Benefits - Aetna, Health Scope - Aetna, See your cost estimate",No data,$80-140,$80,$140,"Arizona, Wisconsin"
Sonya Riske,"Medication Management, NP","Sonya Riske is a family psychiatric mental health nurse practitioner board-certified by the American Nurses Credentialing Center. She has clinical experience with adolescents, adults, and geriatric populations. She specializes in treating psychiatric disorders, including depression, anxiety, ADHD, OCD, PTSD, bipolar disorder, and other diagnoses. CBT, MI, and SBT are offered.","Anxiety and panic disorders, Depression, ADD/ADHD, Bipolar Disorder, Obsessive-Compulsive Disorder","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Harvard Pilgrim, Meritain, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, Christian Brothers Services - Aetna, Trustmark Health Benefits - Aetna, Trustmark Health Benefits - Cigna, Trustmark Small Business Benefits - Aetna, Health Scope - Aetna, See your cost estimate",No data,$140-200,$140,$200,"Arizona, Colorado"
Cassandra Clariett,"Psychotherapy, LCSW","Cassandra Clariett has been in the field of mental health since 2009; her life story of trauma and healing is how she landed on this path. Although she spent most of her career working with children, her latter years have afforded her the chance to develop a love for working with adults. She specializes in helping clients navigate through various areas of mental health.","Coaching, General mental health, Anxiety and panic disorders, Grief and loss, General relationship challenges (family, friends, co-workers), Trauma and post-traumatic stress disorder (PTSD)","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Meritain, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, See your cost estimate",No data,$80-140,$80,$140,"Arizona, Tennessee"
Darren Rafel,"Psychotherapy, LCSW",Darren Rafel understands that a positive experience in therapy is founded on the client-therapist relationship. Darren utilizes this to create a safe space and allow his clients (both adolescents and adults) to discuss their issues openly. He uses an integrative approach based on the individual's needs and goals.,"Anxiety and panic disorders, Depression, Personal growth and self-esteem, LGBTQIA+","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Meritain, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, See your cost estimate",No data,No data,No data,No data,"Arizona, California, Florida, Nevada, New Jersey, Texas, Virginia"
Erica Trocino,"Psychotherapy, LPC","Erica Trocino has a decade of specialized experience treating eating disorders, co-occurring disorders, codependency, and family-of-origin and attachment trauma. Her therapeutic toolbox is diverse and eclectic. Erica's goal is to provide a therapeutic space that feels validating, empowering, and honest while providing the support you deserve when focused on your goals!","Coaching, Personal growth and self-esteem, Eating disorders and body image, General relationship challenges (family, friends, co-workers), Addiction and substance misuse, Trauma and post-traumatic stress disorder (PTSD)","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Meritain, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, Christian Brothers Services - Aetna, Trustmark Health Benefits - Aetna, Trustmark Health Benefits - Cigna, Trustmark Small Business Benefits - Aetna, Health Scope - Aetna, See your cost estimate",No data,$140-200,$140,$200,Arizona
Tammy Rome,"Psychotherapy, LPC, LCPC, LMHC","Tammy Rome has 14 years of experience treating women struggling with anxiety, guilt, perfectionism, and people-pleasing. She specializes in trauma recovery and management of chronic pain.","Chronic illness, pain and sleep disorders, Trauma and post-traumatic stress disorder (PTSD)","UnitedHealthcare, Oxford Health Plans, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Meritain, Blue Cross Blue Shield of Massachusetts, including BlueCard Network access, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, Christian Brothers Services - Aetna, Trustmark Health Benefits - Aetna, Trustmark Health Benefits - Cigna, Trustmark Small Business Benefits - Aetna, Health Scope - Aetna, See your cost estimate",No data,$140-200,$140,$200,"Arizona, Florida, Iowa, Kansas, Utah, Vermont"
Samia Jada,"Psychotherapy, LPC","Samia Jada has several years of working with individuals and couples to overcome anxiety, depression, trauma, and relationship conflict. Samia offers a session that is warm, nonjudgmental, and inviting. Samia uses several skills, including but not limited to cognitive behavioral therapy, the Gottman Method, prolonged exposure, and mindfulness.","General mental health, Anxiety and panic disorders, Depression, Personal growth and self-esteem, General relationship challenges (family, friends, co-workers)","UnitedHealthcare, Cigna, Aetna, UMR, UHC Student Resources, United Healthcare Shared Services, UnitedHealthcare Global, Trustmark Health Benefits - Aetna, Trustmark Health Benefits - Cigna, Trustmark Small Business Benefits - Aetna, See your cost estimate",No data,$140-200,$140,$200,Arizona
Sheila Trish Morgan-Freeman,"Medication Management, NP","Trish Morgan-Freeman has over 27 years in healthcare. She is compassionate, empathetic, and solution-oriented. She is trained to treat children, adolescents, and young and older adults dealing with ADHD, depressive disorders, mood disorders, anxiety disorders, psychosis, and more. She uses evidence-based research and a holistic, integrative approach when treating her patients.","General mental health, Depression, ADD/ADHD, Bipolar Disorder, Schizophrenia and psychotic disorders","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Meritain, Nippon, United Healthcare Shared Services, Allied Benefit Systems - Aetna, Surest (Formerly Bind), Health Plans Inc., UnitedHealthcare Global, Christian Brothers Services - Aetna, Trustmark Health Benefits - Aetna, Trustmark Health Benefits - Cigna, Trustmark Small Business Benefits - Aetna, Health Scope - Aetna, See your cost estimate",No data,$140-200,$140,$200,"Arizona, Texas"
Wendy Bertram,"Psychotherapy, LCSW","Wendy Bertram is a licensed clinical social worker (LCSW) who has been working in the mental health profession for several years. Her primary focus is on adults, using cognitive therapy to help clients think about the issues they’re facing from a different lens. By changing the way you think, you can feel empowered to enact great change in your life.","General mental health, Anxiety and panic disorders, Depression, Life transitions, Personal growth and self-esteem","UnitedHealthcare, Oxford Health Plans, Cigna, Aetna, UMR, Oscar, UHC Student Resources, AllSavers UHC, Blue Cross Blue Shield of Massachusetts, including BlueCard Network access, See your cost estimate",No data,$140-200,$140,$200,"Arizona, Iowa"
